#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-DC8E05C384350A7-1849F2EA150BE32A
#datatype	hitsConcise Results
#status	0
#Start time	2021-01-12T13:42:42	Run time	0:00:08:48
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#166 - >ENSMUST00000108685.8[]	superfamily	227355	32	170	1.79107e-37	137.132	cl34868	COG5022 superfamily	C	 - 
Q#170 - >ENSMUST00000102803.10[]	specific	276951	99	766	0	1356.37	cd01377	MYSc_class_II	 - 	cl22853
Q#170 - >ENSMUST00000102803.10[]	superfamily	227355	37	1432	0	846.669	cl34868	COG5022 superfamily	 - 	 - 
Q#170 - >ENSMUST00000102803.10[]	superfamily	274008	1173	1930	9.97208e-33	139.036	cl37069	SMC_prok_B superfamily	 - 	 - 
Q#171 - >ENSMUST00000153783.1[]	specific	367160	34	60	1.57098e-07	41.9735	pfam02736	Myosin_N	C	cl03686
Q#174 - >ENSMUST00000165221.1[]	specific	276878	100	767	0	1446.01	cd14913	MYSc_Myh3	 - 	cl22853
Q#174 - >ENSMUST00000165221.1[]	superfamily	366712	847	1924	2.27207e-160	521.622	cl37647	Myosin_tail_1 superfamily	 - 	 - 
Q#174 - >ENSMUST00000165221.1[]	specific	367160	35	73	8.06879e-11	58.1519	pfam02736	Myosin_N	 - 	cl03686
Q#178 - >ENSMUST00000124516.7[]	specific	276875	100	773	0	1323.58	cd14910	MYSc_Myh1_mammals	 - 	cl22853
Q#178 - >ENSMUST00000124516.7[]	superfamily	366712	853	1930	4.04629e-168	543.193	cl37647	Myosin_tail_1 superfamily	 - 	 - 
Q#178 - >ENSMUST00000124516.7[]	specific	367160	35	73	1.92034e-11	60.0778	pfam02736	Myosin_N	 - 	cl03686
Q#179 - >ENSMUST00000108684.7[]	specific	276887	100	770	0	1339.72	cd14923	MYSc_Myh13	 - 	cl22853
Q#179 - >ENSMUST00000108684.7[]	superfamily	366712	850	1927	2.41418e-156	510.451	cl37647	Myosin_tail_1 superfamily	 - 	 - 
Q#179 - >ENSMUST00000108684.7[]	specific	367160	35	73	2.19649e-09	54.2999	pfam02736	Myosin_N	 - 	cl03686
Q#180 - >ENSMUST00000111456.1[]	specific	367160	34	63	8.41847e-09	45.4403	pfam02736	Myosin_N	C	cl03686
Q#181 - >ENSMUST00000170159.7[]	superfamily	354959	100	773	0	1328.53	cl22853	Motor_domain superfamily	 - 	 - 
Q#181 - >ENSMUST00000170159.7[]	superfamily	366712	853	1930	1.5155e-168	544.349	cl37647	Myosin_tail_1 superfamily	 - 	 - 
Q#181 - >ENSMUST00000170159.7[]	specific	367160	35	73	1.35595e-10	57.7667	pfam02736	Myosin_N	 - 	cl03686
Q#182 - >ENSMUST00000123101.7[]	superfamily	227355	32	111	8.50638e-19	80.5072	cl34868	COG5022 superfamily	C	 - 
Q#183 - >ENSMUST00000124930.7[]	specific	367160	34	72	7.22632e-14	59.6926	pfam02736	Myosin_N	 - 	cl03686
Q#185 - >ENSMUST00000129018.7[]	specific	367160	35	73	1.44168e-12	56.2259	pfam02736	Myosin_N	 - 	cl03686
Q#186 - >ENSMUST00000168485.7[]	specific	276951	99	766	0	1356.37	cd01377	MYSc_class_II	 - 	cl22853
Q#186 - >ENSMUST00000168485.7[]	superfamily	227355	37	1432	0	846.669	cl34868	COG5022 superfamily	 - 	 - 
Q#186 - >ENSMUST00000168485.7[]	superfamily	274008	1173	1930	9.97208e-33	139.036	cl37069	SMC_prok_B superfamily	 - 	 - 
Q#187 - >ENSMUST00000108689.7[]	specific	276878	100	767	0	1446.01	cd14913	MYSc_Myh3	 - 	cl22853
Q#187 - >ENSMUST00000108689.7[]	superfamily	366712	847	1924	2.27207e-160	521.622	cl37647	Myosin_tail_1 superfamily	 - 	 - 
Q#187 - >ENSMUST00000108689.7[]	specific	367160	35	73	8.06879e-11	58.1519	pfam02736	Myosin_N	 - 	cl03686
Q#189 - >ENSMUST00000228731.1[]	superfamily	366712	1	148	3.30712e-14	69.0125	cl37647	Myosin_tail_1 superfamily	N	 - 
Q#191 - >ENSMUST00000228837.1[]	specific	367160	34	72	5.26413e-14	59.6926	pfam02736	Myosin_N	 - 	cl03686
Q#192 - >ENSMUST00000180845.7[]	specific	276887	100	770	0	1339.72	cd14923	MYSc_Myh13	 - 	cl22853
Q#192 - >ENSMUST00000180845.7[]	superfamily	366712	850	1927	2.41418e-156	510.451	cl37647	Myosin_tail_1 superfamily	 - 	 - 
Q#192 - >ENSMUST00000180845.7[]	specific	367160	35	73	2.19649e-09	54.2999	pfam02736	Myosin_N	 - 	cl03686
Q#194 - >ENSMUST00000181027.1[]	superfamily	366712	22	223	5.69323e-12	64.3901	cl37647	Myosin_tail_1 superfamily	N	 - 
Q#195 - >ENSMUST00000231192.1[]	superfamily	366712	53	211	1.05247e-46	164.157	cl37647	Myosin_tail_1 superfamily	C	 - 
Q#196 - >ENSMUST00000230397.1[]	specific	366712	848	1928	0	1446.87	pfam01576	Myosin_tail_1	 - 	cl37647
Q#196 - >ENSMUST00000230397.1[]	specific	276885	99	771	0	1326.95	cd14921	MYSc_Myh11	 - 	cl22853
Q#196 - >ENSMUST00000230397.1[]	specific	367160	33	71	8.94413e-12	61.2334	pfam02736	Myosin_N	 - 	cl03686
Q#197 - >ENSMUST00000229259.1[]	superfamily	366712	2	68	2.14549e-20	84.4205	cl37647	Myosin_tail_1 superfamily	NC	 - 
Q#197 - >ENSMUST00000229259.1[]	superfamily	366712	42	110	0.00529475	34.7298	cl37647	Myosin_tail_1 superfamily	N	 - 
Q#198 - >ENSMUST00000226297.1[]	specific	276951	99	768	0	1338.26	cd01377	MYSc_class_II	 - 	cl22853
Q#198 - >ENSMUST00000226297.1[]	superfamily	366712	848	1925	6.83958e-168	542.423	cl37647	Myosin_tail_1 superfamily	 - 	 - 
Q#198 - >ENSMUST00000226297.1[]	specific	367160	34	72	9.9355e-13	63.9298	pfam02736	Myosin_N	 - 	cl03686
Q#199 - >ENSMUST00000170942.1[]	specific	276879	100	770	0	1360.95	cd14915	MYSc_Myh4	 - 	cl22853
Q#199 - >ENSMUST00000170942.1[]	superfamily	366712	850	1927	7.56033e-171	550.512	cl37647	Myosin_tail_1 superfamily	 - 	 - 
Q#199 - >ENSMUST00000170942.1[]	specific	367160	35	73	2.24184e-11	60.0778	pfam02736	Myosin_N	 - 	cl03686
Q#202 - >ENSMUST00000227518.1[]	specific	367160	34	72	1.59531e-13	58.5371	pfam02736	Myosin_N	 - 	cl03686
Q#203 - >ENSMUST00000231567.1[]	specific	366712	855	1935	0	1453.8	pfam01576	Myosin_tail_1	 - 	cl37647
Q#203 - >ENSMUST00000231567.1[]	specific	276951	99	778	0	1323.24	cd01377	MYSc_class_II	 - 	cl22853
Q#203 - >ENSMUST00000231567.1[]	specific	367160	33	71	8.44604e-12	61.2334	pfam02736	Myosin_N	 - 	cl03686
Q#204 - >ENSMUST00000021750.14[]	specific	368919	4332	4598	1.97502e-107	345.481	pfam06459	RR_TM4-6	 - 	cl24183
Q#204 - >ENSMUST00000021750.14[]	specific	366595	456	648	9.73882e-95	305.624	pfam01365	RYDR_ITPR	 - 	cl03182
Q#204 - >ENSMUST00000021750.14[]	specific	240458	1086	1218	9.58746e-88	282.652	cd12878	SPRY2_RyR	 - 	cl02614
Q#204 - >ENSMUST00000021750.14[]	specific	366595	2122	2335	1.1153e-81	268.259	pfam01365	RYDR_ITPR	 - 	cl03182
Q#204 - >ENSMUST00000021750.14[]	specific	293937	1412	1559	1.23907e-80	263.012	cd12879	SPRY3_RyR	 - 	cl02614
Q#204 - >ENSMUST00000021750.14[]	specific	240457	654	805	2.40458e-80	262.249	cd12877	SPRY1_RyR	 - 	cl02614
Q#204 - >ENSMUST00000021750.14[]	specific	367197	226	406	6.64967e-75	248.049	pfam02815	MIR	 - 	cl26702
Q#204 - >ENSMUST00000021750.14[]	superfamily	388622	13	216	1.72736e-71	239.285	cl19745	Ins145_P3_rec superfamily	 - 	 - 
Q#204 - >ENSMUST00000021750.14[]	specific	366883	2700	2790	1.5916e-45	160.339	pfam02026	RyR	 - 	cl03409
Q#204 - >ENSMUST00000021750.14[]	specific	366883	862	951	7.02415e-45	158.413	pfam02026	RyR	 - 	cl03409
Q#204 - >ENSMUST00000021750.14[]	specific	366883	976	1065	1.06819e-41	149.168	pfam02026	RyR	 - 	cl03409
Q#204 - >ENSMUST00000021750.14[]	specific	369886	3834	3947	3.85174e-41	147.667	pfam08454	RIH_assoc	 - 	cl09597
Q#204 - >ENSMUST00000021750.14[]	specific	366883	2820	2904	4.56681e-28	110.263	pfam02026	RyR	 - 	cl03409
Q#204 - >ENSMUST00000021750.14[]	specific	366146	4717	4877	4.15305e-15	78.0904	pfam00520	Ion_trans	N	cl37996
Q#204 - >ENSMUST00000021750.14[]	specific	372618	4031	4086	3.97886e-06	47.2451	pfam13499	EF-hand_7	 - 	cl38414
Q#205 - >ENSMUST00000032813.9[]	specific	366595	443	638	1.14198e-84	276.734	pfam01365	RYDR_ITPR	 - 	cl03182
Q#205 - >ENSMUST00000032813.9[]	specific	240458	1074	1206	5.77744e-83	269.17	cd12878	SPRY2_RyR	 - 	cl02614
Q#205 - >ENSMUST00000032813.9[]	specific	240457	644	795	4.36721e-79	258.782	cd12877	SPRY1_RyR	 - 	cl02614
Q#205 - >ENSMUST00000032813.9[]	specific	293937	1420	1568	5.95247e-77	252.611	cd12879	SPRY3_RyR	 - 	cl02614
Q#205 - >ENSMUST00000032813.9[]	specific	366595	2160	2370	2.72376e-75	249.77	pfam01365	RYDR_ITPR	 - 	cl03182
Q#205 - >ENSMUST00000032813.9[]	superfamily	388622	12	205	4.23748e-75	249.685	cl19745	Ins145_P3_rec superfamily	 - 	 - 
Q#205 - >ENSMUST00000032813.9[]	specific	368919	4378	4666	1.25316e-74	251.493	pfam06459	RR_TM4-6	 - 	cl24183
Q#205 - >ENSMUST00000032813.9[]	specific	367197	213	391	4.04133e-73	243.041	pfam02815	MIR	 - 	cl26702
Q#205 - >ENSMUST00000032813.9[]	specific	366883	852	942	6.43704e-47	164.191	pfam02026	RyR	 - 	cl03409
Q#205 - >ENSMUST00000032813.9[]	specific	366883	2736	2826	1.33738e-40	146.086	pfam02026	RyR	 - 	cl03409
Q#205 - >ENSMUST00000032813.9[]	specific	366883	966	1056	1.36903e-37	137.612	pfam02026	RyR	 - 	cl03409
Q#205 - >ENSMUST00000032813.9[]	specific	366883	2856	2940	4.05025e-35	130.293	pfam02026	RyR	 - 	cl03409
Q#205 - >ENSMUST00000032813.9[]	specific	369886	3881	3994	4.4966e-33	124.94	pfam08454	RIH_assoc	 - 	cl09597
Q#205 - >ENSMUST00000032813.9[]	specific	366146	4760	4944	3.62904e-25	107.366	pfam00520	Ion_trans	 - 	cl37996
Q#205 - >ENSMUST00000032813.9[]	specific	372744	4085	4135	1.39509e-09	56.4187	pfam13833	EF-hand_8	 - 	cl08302
Q#206 - >ENSMUST00000170156.2[]	specific	368919	4332	4598	1.70854e-107	345.481	pfam06459	RR_TM4-6	 - 	cl24183
Q#206 - >ENSMUST00000170156.2[]	specific	366595	456	648	9.83351e-95	305.624	pfam01365	RYDR_ITPR	 - 	cl03182
Q#206 - >ENSMUST00000170156.2[]	specific	240458	1086	1218	9.58746e-88	282.652	cd12878	SPRY2_RyR	 - 	cl02614
Q#206 - >ENSMUST00000170156.2[]	specific	366595	2122	2335	1.1153e-81	268.259	pfam01365	RYDR_ITPR	 - 	cl03182
Q#206 - >ENSMUST00000170156.2[]	specific	293937	1412	1559	1.23907e-80	263.012	cd12879	SPRY3_RyR	 - 	cl02614
Q#206 - >ENSMUST00000170156.2[]	specific	240457	654	805	2.40458e-80	262.249	cd12877	SPRY1_RyR	 - 	cl02614
Q#206 - >ENSMUST00000170156.2[]	specific	367197	226	406	6.52221e-75	248.049	pfam02815	MIR	 - 	cl26702
Q#206 - >ENSMUST00000170156.2[]	superfamily	388622	13	216	1.39343e-69	233.892	cl19745	Ins145_P3_rec superfamily	 - 	 - 
Q#206 - >ENSMUST00000170156.2[]	specific	366883	2700	2790	1.56101e-45	160.339	pfam02026	RyR	 - 	cl03409
Q#206 - >ENSMUST00000170156.2[]	specific	366883	862	951	7.02415e-45	158.413	pfam02026	RyR	 - 	cl03409
Q#206 - >ENSMUST00000170156.2[]	specific	366883	976	1065	1.06819e-41	149.168	pfam02026	RyR	 - 	cl03409
Q#206 - >ENSMUST00000170156.2[]	specific	369886	3834	3947	4.12251e-41	147.667	pfam08454	RIH_assoc	 - 	cl09597
Q#206 - >ENSMUST00000170156.2[]	specific	366883	2820	2904	4.47891e-28	110.263	pfam02026	RyR	 - 	cl03409
Q#206 - >ENSMUST00000170156.2[]	specific	366146	4717	4877	4.114e-15	78.0904	pfam00520	Ion_trans	N	cl37996
Q#206 - >ENSMUST00000170156.2[]	specific	372618	4031	4086	3.7516e-06	47.2451	pfam13499	EF-hand_7	 - 	cl38414
Q#207 - >ENSMUST00000214374.1[]	specific	366595	450	645	1.00301e-84	277.119	pfam01365	RYDR_ITPR	 - 	cl03182
Q#207 - >ENSMUST00000214374.1[]	specific	240458	1081	1213	5.80995e-83	269.17	cd12878	SPRY2_RyR	 - 	cl02614
Q#207 - >ENSMUST00000214374.1[]	specific	240457	651	802	4.39188e-79	258.782	cd12877	SPRY1_RyR	 - 	cl02614
Q#207 - >ENSMUST00000214374.1[]	specific	370078	12	212	2.36598e-77	256.234	pfam08709	Ins145_P3_rec	 - 	cl19745
Q#207 - >ENSMUST00000214374.1[]	specific	293937	1427	1575	5.98609e-77	252.611	cd12879	SPRY3_RyR	 - 	cl02614
Q#207 - >ENSMUST00000214374.1[]	specific	366595	2167	2377	2.34651e-75	250.155	pfam01365	RYDR_ITPR	 - 	cl03182
Q#207 - >ENSMUST00000214374.1[]	specific	368919	4406	4694	1.20106e-74	251.493	pfam06459	RR_TM4-6	 - 	cl24183
Q#207 - >ENSMUST00000214374.1[]	specific	367197	220	398	4.654e-73	243.041	pfam02815	MIR	 - 	cl26702
Q#207 - >ENSMUST00000214374.1[]	specific	366883	859	949	7.27232e-47	164.191	pfam02026	RyR	 - 	cl03409
Q#207 - >ENSMUST00000214374.1[]	specific	366883	2743	2833	1.45345e-40	146.086	pfam02026	RyR	 - 	cl03409
Q#207 - >ENSMUST00000214374.1[]	specific	366883	973	1063	1.51705e-37	137.227	pfam02026	RyR	 - 	cl03409
Q#207 - >ENSMUST00000214374.1[]	specific	366883	2863	2947	4.44489e-35	130.293	pfam02026	RyR	 - 	cl03409
Q#207 - >ENSMUST00000214374.1[]	specific	369886	3890	4003	3.98549e-33	124.94	pfam08454	RIH_assoc	 - 	cl09597
Q#207 - >ENSMUST00000214374.1[]	specific	366146	4788	4972	3.01453e-25	107.751	pfam00520	Ion_trans	 - 	cl37996
Q#207 - >ENSMUST00000214374.1[]	specific	372744	4113	4163	1.3892e-09	56.4187	pfam13833	EF-hand_8	 - 	cl08302
Q#212 - >ENSMUST00000220597.1[]	specific	366595	449	641	1.87986e-97	305.624	pfam01365	RYDR_ITPR	 - 	cl03182
Q#212 - >ENSMUST00000220597.1[]	specific	240457	647	798	4.04204e-82	262.634	cd12877	SPRY1_RyR	 - 	cl02614
Q#212 - >ENSMUST00000220597.1[]	specific	367197	219	399	2.48891e-74	242.656	pfam02815	MIR	 - 	cl26702
Q#212 - >ENSMUST00000220597.1[]	superfamily	388622	13	209	3.71312e-72	237.744	cl19745	Ins145_P3_rec superfamily	 - 	 - 
Q#212 - >ENSMUST00000220597.1[]	specific	366883	855	944	1.49767e-45	158.413	pfam02026	RyR	 - 	cl03409
Q#212 - >ENSMUST00000220597.1[]	superfamily	366883	969	1015	3.20354e-21	88.6917	cl03409	RyR superfamily	C	 - 
Q#221 - >ENSMUST00000221527.1[]	specific	368919	767	1029	5.55848e-104	326.221	pfam06459	RR_TM4-6	 - 	cl24183
Q#221 - >ENSMUST00000221527.1[]	specific	369886	269	382	4.23243e-40	143.044	pfam08454	RIH_assoc	 - 	cl09597
Q#221 - >ENSMUST00000221527.1[]	specific	372618	466	521	3.85753e-06	45.3191	pfam13499	EF-hand_7	 - 	cl38414
Q#221 - >ENSMUST00000221527.1[]	specific	379452	389	436	0.0036995	36.407	pfam14070	YjfB_motility	 - 	cl16588
Q#224 - >ENSMUST00000179893.8[]	specific	366595	443	638	1.10976e-84	276.734	pfam01365	RYDR_ITPR	 - 	cl03182
Q#224 - >ENSMUST00000179893.8[]	specific	240458	1074	1206	5.77976e-83	269.17	cd12878	SPRY2_RyR	 - 	cl02614
Q#224 - >ENSMUST00000179893.8[]	specific	240457	644	795	4.36897e-79	258.782	cd12877	SPRY1_RyR	 - 	cl02614
Q#224 - >ENSMUST00000179893.8[]	specific	293937	1420	1568	5.95487e-77	252.611	cd12879	SPRY3_RyR	 - 	cl02614
Q#224 - >ENSMUST00000179893.8[]	specific	366595	2160	2370	2.72487e-75	249.77	pfam01365	RYDR_ITPR	 - 	cl03182
Q#224 - >ENSMUST00000179893.8[]	superfamily	388622	12	205	4.23921e-75	249.685	cl19745	Ins145_P3_rec superfamily	 - 	 - 
Q#224 - >ENSMUST00000179893.8[]	specific	368919	4380	4668	1.22972e-74	251.493	pfam06459	RR_TM4-6	 - 	cl24183
Q#224 - >ENSMUST00000179893.8[]	specific	367197	213	391	4.04297e-73	243.041	pfam02815	MIR	 - 	cl26702
Q#224 - >ENSMUST00000179893.8[]	specific	366883	852	942	6.25487e-47	164.191	pfam02026	RyR	 - 	cl03409
Q#224 - >ENSMUST00000179893.8[]	specific	366883	2736	2826	1.31219e-40	146.086	pfam02026	RyR	 - 	cl03409
Q#224 - >ENSMUST00000179893.8[]	specific	366883	966	1056	1.34324e-37	137.612	pfam02026	RyR	 - 	cl03409
Q#224 - >ENSMUST00000179893.8[]	specific	366883	2856	2940	4.05186e-35	130.293	pfam02026	RyR	 - 	cl03409
Q#224 - >ENSMUST00000179893.8[]	specific	369886	3883	3996	4.28519e-33	124.94	pfam08454	RIH_assoc	 - 	cl09597
Q#224 - >ENSMUST00000179893.8[]	specific	366146	4762	4946	3.46102e-25	107.366	pfam00520	Ion_trans	 - 	cl37996
Q#224 - >ENSMUST00000179893.8[]	specific	372744	4087	4137	1.39564e-09	56.4187	pfam13833	EF-hand_8	 - 	cl08302
Q#227 - >ENSMUST00000150611.7[]	specific	277248	9	75	1.00144e-34	113.22	cd15895	SNARE_SNAP23N	 - 	cl22856
Q#228 - >ENSMUST00000136436.1[]	specific	277241	106	170	2.67246e-34	115.544	cd15888	SNARE_SNAP47N	 - 	cl22856
Q#228 - >ENSMUST00000136436.1[]	superfamily	388408	2	98	2.09465e-07	46.7301	cl17171	PH-like superfamily	 - 	 - 
Q#229 - >ENSMUST00000153580.7[]	specific	277248	9	75	1.33289e-33	110.138	cd15895	SNARE_SNAP23N	 - 	cl22856
Q#231 - >ENSMUST00000028743.9[]	specific	277248	9	75	5.71052e-34	115.916	cd15895	SNARE_SNAP23N	 - 	cl22856
Q#231 - >ENSMUST00000028743.9[]	specific	277237	148	206	5.74087e-28	100.227	cd15884	SNARE_SNAP23C	 - 	cl22856
Q#231 - >ENSMUST00000028743.9[]	specific	366328	86	146	5.4608e-24	89.6393	pfam00835	SNAP-25	 - 	cl02979
Q#232 - >ENSMUST00000010038.9[]	specific	277241	106	170	5.48234e-31	112.848	cd15888	SNARE_SNAP47N	 - 	cl22856
Q#232 - >ENSMUST00000010038.9[]	superfamily	389950	353	411	2.83e-23	91.8468	cl22856	SNARE superfamily	 - 	 - 
Q#232 - >ENSMUST00000010038.9[]	superfamily	388408	2	98	3.14356e-07	47.8857	cl17171	PH-like superfamily	 - 	 - 
Q#233 - >ENSMUST00000120940.7[]	specific	277241	106	170	2.21467e-33	117.47	cd15888	SNARE_SNAP47N	 - 	cl22856
Q#233 - >ENSMUST00000120940.7[]	superfamily	388408	2	98	9.13933e-07	46.3449	cl17171	PH-like superfamily	 - 	 - 
Q#234 - >ENSMUST00000110711.8[]	specific	277248	9	75	5.71052e-34	115.916	cd15895	SNARE_SNAP23N	 - 	cl22856
Q#234 - >ENSMUST00000110711.8[]	specific	277237	148	206	5.74087e-28	100.227	cd15884	SNARE_SNAP23C	 - 	cl22856
Q#234 - >ENSMUST00000110711.8[]	specific	366328	86	146	5.4608e-24	89.6393	pfam00835	SNAP-25	 - 	cl02979
Q#235 - >ENSMUST00000142278.1[]	specific	277248	9	75	4.76939e-36	119.383	cd15895	SNARE_SNAP23N	 - 	cl22856
Q#235 - >ENSMUST00000142278.1[]	specific	366328	86	146	1.71687e-25	91.9505	pfam00835	SNAP-25	 - 	cl02979
Q#239 - >ENSMUST00000023449.10[]	specific	277240	47	111	1.11996e-30	108.512	cd15887	SNARE_SNAP29N	 - 	cl22856
Q#239 - >ENSMUST00000023449.10[]	specific	277209	201	259	2.92971e-21	84.1477	cd15856	SNARE_SNAP29C	 - 	cl22856
Q#241 - >ENSMUST00000132969.7[]	superfamily	389950	106	147	1.21773e-16	69.3201	cl22856	SNARE superfamily	C	 - 
Q#241 - >ENSMUST00000132969.7[]	superfamily	388408	2	98	2.77697e-07	45.5745	cl17171	PH-like superfamily	 - 	 - 
Q#242 - >ENSMUST00000116437.7[]	specific	277248	9	75	5.10754e-35	118.998	cd15895	SNARE_SNAP23N	 - 	cl22856
Q#242 - >ENSMUST00000116437.7[]	specific	277237	159	217	7.719e-29	102.538	cd15884	SNARE_SNAP23C	 - 	cl22856
Q#242 - >ENSMUST00000116437.7[]	specific	366328	100	157	5.44118e-21	82.3205	pfam00835	SNAP-25	 - 	cl02979
Q#243 - >ENSMUST00000156146.7[]	specific	277241	106	170	1.58409e-34	115.929	cd15888	SNARE_SNAP47N	 - 	cl22856
Q#243 - >ENSMUST00000156146.7[]	superfamily	388408	2	98	3.03331e-07	46.3449	cl17171	PH-like superfamily	 - 	 - 
Q#244 - >ENSMUST00000133533.7[]	specific	176262	78	257	1.39127e-98	297.258	cd08367	P53	 - 	cl14608
Q#244 - >ENSMUST00000133533.7[]	specific	188970	440	504	4.95963e-42	145.114	cd09571	SAM_tumor-p73	 - 	cl15755
Q#244 - >ENSMUST00000133533.7[]	specific	369476	297	333	5.80742e-14	65.7398	pfam07710	P53_tetramer	 - 	cl06653
Q#244 - >ENSMUST00000133533.7[]	superfamily	370600	499	589	0.00140778	39.2035	cl09862	Gp37 superfamily	C	 - 
Q#245 - >ENSMUST00000105644.9[]	specific	176262	119	298	1.48858e-98	298.414	cd08367	P53	 - 	cl14608
Q#245 - >ENSMUST00000105644.9[]	specific	188970	481	545	7.36768e-42	145.114	cd09571	SAM_tumor-p73	 - 	cl15755
Q#245 - >ENSMUST00000105644.9[]	specific	369476	338	374	6.20397e-14	65.7398	pfam07710	P53_tetramer	 - 	cl06653
Q#245 - >ENSMUST00000105644.9[]	superfamily	370600	540	630	0.00151957	39.2035	cl09862	Gp37 superfamily	C	 - 
Q#246 - >ENSMUST00000239448.1[]	specific	176262	126	305	1.17558e-98	299.184	cd08367	P53	 - 	cl14608
Q#246 - >ENSMUST00000239448.1[]	specific	188970	488	552	7.82094e-42	145.114	cd09571	SAM_tumor-p73	 - 	cl15755
Q#246 - >ENSMUST00000239448.1[]	specific	369476	345	381	6.27166e-14	65.7398	pfam07710	P53_tetramer	 - 	cl06653
Q#246 - >ENSMUST00000239448.1[]	superfamily	370600	547	637	0.00153865	39.2035	cl09862	Gp37 superfamily	C	 - 
